Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany Dem Rep (former),"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Germany Fed Rep (former),"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ghana,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
Greece,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
Grenada,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Guam,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Guatemala,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,4.0,3.0,2.0,6.0,3.0,2.0,5.0,3.0,2.0
Guinea,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
Guinea-Bissau,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
Guyana,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
Haiti,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,2.0,8.0,5.0,-1.0,2.0,1.0,3.0,2.0
Honduras,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,3.0,-1.0,2.0,4.0,2.0,-1.0,4.0,1.0,3.0
Hungary,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
Iceland,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
India,"Climate related disasters frequency, Number of Disasters: TOTAL",11.0,16.0,19.0,15.0,18.0,23.0,12.0,11.0,16.0,7.0
Indonesia,"Climate related disasters frequency, Number of Disasters: TOTAL",12.0,8.0,11.0,12.0,10.0,8.0,14.0,26.0,21.0,13.0
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,5.0,1.0,2.0,1.0,3.0,7.0,4.0,3.0
Iraq,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,3.0,1.0
Ireland,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
Isle of Man,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Israel,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,-1.0
Italy,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,5.0,4.0,1.0,4.0,4.0,5.0,7.0,2.0,3.0
Jamaica,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Japan,"Climate related disasters frequency, Number of Disasters: TOTAL",9.0,11.0,10.0,7.0,4.0,5.0,9.0,4.0,4.0,6.0
Jordan,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
Kenya,"Climate related disasters frequency, Number of Disasters: TOTAL",4.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,-1.0
Kiribati,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,-1.0
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,3.0,-1.0,2.0,-1.0,1.0,4.0,5.0,1.0,4.0
Kuwait,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0
Latvia,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
Lebanon,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,3.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
Liberia,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Libya,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
Lithuania,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0
Luxembourg,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,7.0
Malawi,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0
Malaysia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,4.0,4.0,2.0,4.0,5.0,8.0,6.0
Maldives,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
Mali,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,2.0
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,3.0,-1.0,1.0
Mauritius,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
Mexico,"Climate related disasters frequency, Number of Disasters: TOTAL",5.0,6.0,4.0,7.0,5.0,3.0,6.0,7.0,10.0,5.0
"Micronesia, Federated States of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
