Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Italy,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,5.0,4.0,1.0,4.0,4.0,5.0,7.0,2.0,3.0
Japan,"Climate related disasters frequency, Number of Disasters: TOTAL",9.0,11.0,10.0,7.0,4.0,5.0,9.0,4.0,4.0,6.0
"Kazakhstan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kenya,"Climate related disasters frequency, Number of Disasters: TOTAL",4.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.3333333333333335
"Korea, Dem. People's Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.625,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.625
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.857142857142857,3.0,2.857142857142857,2.0,2.857142857142857,1.0,4.0,5.0,1.0,4.0
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,7.0
Malawi,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0
Malaysia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,4.0,4.0,2.0,4.0,5.0,8.0,6.0
Mali,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.4285714285714286,1.0,1.0,1.4285714285714286,1.0,2.0,1.0,1.4285714285714286,2.0
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.5,1.5,1.5,2.0,1.0,1.0,3.0,1.5,1.0
Mexico,"Climate related disasters frequency, Number of Disasters: TOTAL",5.0,6.0,4.0,7.0,5.0,3.0,6.0,7.0,10.0,5.0
Mongolia,"Climate related disasters frequency, Number of Disasters: TOTAL",2.125,2.125,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0
